date,channel,campaign,spend,imps,clicks,conversions,add_to_cart,revenue
2024-01-01,SEARCH_BRAND,SEA_01,137.33,74204,4525,135,161,8908.35
2024-01-01,SEARCH_BRAND,SEA_02,87.58,48613,2613,76,101,5054.18
2024-01-01,SEARCH_BRAND,SEA_03,126.85,58836,4811,107,123,7756.36
2024-01-01,SEARCH_BRAND,SEA_04,130.62,66447,4159,136,186,9304.81
2024-01-01,SEARCH_BRAND,SEA_05,34.17,17495,1005,24,29,1742.38
2024-01-01,SEARCH_BRAND,SEA_06,68.19,34050,2129,86,113,5642.72
2024-01-01,SEARCH_BRAND,SEA_07,117.06,61312,3139,97,128,6725.34
2024-01-01,SEARCH_BRAND,SEA_08,99.63,49283,2386,71,96,4974.95
2024-01-01,SEARCH_GENERIC,SEA_01,62.31,21002,785,10,13,698.69
2024-01-01,SEARCH_GENERIC,SEA_02,20.07,7234,165,2,2,135.48
2024-01-01,SEARCH_GENERIC,SEA_03,11.72,3791,109,2,3,139.3
2024-01-01,SEARCH_GENERIC,SEA_04,88.32,29171,807,15,22,1012.43
2024-01-01,SEARCH_GENERIC,SEA_05,124.74,43560,1184,18,22,1231.71
2024-01-01,SEARCH_GENERIC,SEA_06,94.98,29961,591,10,14,698.38
2024-01-01,SEARCH_GENERIC,SEA_07,141.81,50367,1632,34,45,2272.5
2024-01-01,SEARCH_GENERIC,SEA_08,91.76,32228,1119,15,18,1029.07
2024-01-01,SHOPPING,SHO_01,37.03,15123,515,10,15,681.88
2024-01-01,SHOPPING,SHO_02,28.55,11204,544,12,16,764.13
2024-01-01,SHOPPING,SHO_03,15.6,6468,241,6,7,408.85
2024-01-01,SHOPPING,SHO_04,80.62,32828,1355,35,46,2473.66
2024-01-01,SHOPPING,SHO_05,157.21,60624,2584,67,90,4484.09
2024-01-01,SHOPPING,SHO_06,53.97,21401,902,7,9,469.86
2024-01-01,SHOPPING,SHO_07,102.63,41210,1708,42,47,2944.2
2024-01-01,SHOPPING,SHO_08,329.68,137572,5031,110,132,7773.78
2024-01-01,DISPLAY,DIS_01,33.26,6783,44,0,0,0.0
2024-01-01,DISPLAY,DIS_02,104.05,20533,108,1,1,66.31
2024-01-01,DISPLAY,DIS_03,121.62,23777,212,1,1,69.72
2024-01-01,DISPLAY,DIS_04,88.17,16887,86,1,1,68.11
2024-01-01,DISPLAY,DIS_05,31.89,6679,52,0,0,0.0
2024-01-01,DISPLAY,DIS_06,105.14,21700,112,1,1,65.31
2024-01-01,DISPLAY,DIS_07,90.33,17529,108,0,0,0.0
2024-01-01,DISPLAY,DIS_08,15.97,2911,21,0,0,0.0
2024-01-01,SOCIAL,SOC_01,84.42,21322,233,7,9,472.83
2024-01-01,SOCIAL,SOC_02,35.57,8675,136,4,6,261.34
2024-01-01,SOCIAL,SOC_03,62.64,15851,191,2,2,142.59
2024-01-01,SOCIAL,SOC_04,45.14,11520,113,2,3,133.08
2024-01-01,SOCIAL,SOC_05,86.62,22665,227,0,0,0.0
2024-01-01,SOCIAL,SOC_06,19.33,4707,77,3,4,209.5
2024-01-01,SOCIAL,SOC_07,29.22,7063,94,2,2,136.89
2024-01-01,SOCIAL,SOC_08,125.07,30933,425,4,5,278.9
2024-01-02,SEARCH_BRAND,SEA_01,32.11,15326,699,21,28,1456.4
2024-01-02,SEARCH_BRAND,SEA_02,121.29,67502,3591,101,131,6795.89
2024-01-02,SEARCH_BRAND,SEA_03,186.6,93987,7340,183,226,12635.7
2024-01-02,SEARCH_BRAND,SEA_04,131.37,60973,3502,97,143,6453.56
2024-01-02,SEARCH_BRAND,SEA_05,101.75,49997,3047,82,114,5643.12
2024-01-02,SEARCH_BRAND,SEA_06,68.46,33210,2280,67,89,4598.31
2024-01-02,SEARCH_BRAND,SEA_07,328.94,166107,8804,256,294,17111.34
2024-01-02,SEARCH_BRAND,SEA_08,62.89,32827,2198,74,96,4983.26
